{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.507}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
