{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.031879999999999999, 'M1': 0.1, 'r2': 0.507}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
{'delta': 0.03184, 'M1': 0.1, 'r2': 0.508}
